N,spacing_over_d,xi_over_d,h_over_d,min_eig_normal_difference,min_eig_tangent_difference
10,1.0,0.0,6.0,1.4988107801475484e-12,1.1136718020978838e-12
10,1.0,0.5,1.3,0.002054655502947479,0.0015280705082367152
10,1.0,0.5,1.5,0.0005781391703807762,0.00048168006150200006
10,1.0,0.5,2.0,3.062615855199488e-05,2.6800344142554464e-05
10,1.0,0.5,3.0,1.559909448702028e-07,1.3364008919059946e-07
10,1.0,0.5,6.0,1.0332488991211653e-12,7.575863833471836e-13
10,1.0,1.0,1.3,8.337950960972705e-05,5.960173217071372e-05
10,1.0,1.0,1.5,2.6794287888241798e-05,2.1548961888879817e-05
10,1.0,1.0,2.0,1.970952254556374e-06,1.6661116243595291e-06
10,1.0,1.0,3.0,1.840109851409313e-08,1.5112995531706076e-08
10,1.0,1.0,6.0,3.76496377952228e-13,2.659961461275555e-13
16,0.25,0.0,1.3,2.7668211689462657e-10,2.5295827640696964e-10
16,0.25,0.0,1.5,6.5512133611036705e-12,6.008048466311499e-12
16,0.25,0.0,2.0,1.8470094346774014e-15,1.7141830760087811e-15
16,0.25,0.0,3.0,-1.6575332011137275e-17,1.409074849890502e-17
16,0.25,0.0,6.0,-5.935343617434357e-18,-5.605050696034188e-18
16,0.25,0.5,1.3,3.404046120897168e-14,2.887144910288924e-14
16,0.25,0.5,1.5,2.2780335907143615e-15,2.0044071610779736e-15
16,0.25,0.5,2.0,1.5601808785109636e-17,3.885283035061076e-18
16,0.25,0.5,3.0,-1.578402014120675e-17,-1.2495710903299298e-18
16,0.25,0.5,6.0,-1.1927521058516565e-18,-3.483515379584804e-18
16,0.25,1.0,1.3,1.0519332107012763e-17,-1.9330263784383605e-18
16,0.25,1.0,1.5,1.0481242155432653e-17,-8.771074357887343e-20
16,0.25,1.0,2.0,4.740842235533252e-18,-1.747363751813399e-18
16,0.25,1.0,3.0,4.1909022055657646e-18,-1.704682144204911e-18
16,0.25,1.0,6.0,-3.1877352742865167e-18,-5.528807413933623e-18
16,0.6,0.0,1.3,0.0001851463328385677,0.00016128237081519003
16,0.6,0.0,1.5,2.32232141116014e-05,2.1201392760144678e-05
16,0.6,0.0,2.0,1.6605015086801763e-07,1.538095610862912e-07
16,0.6,0.0,3.0,2.2235269535294755e-11,2.033993444121373e-11
16,0.6,0.0,6.0,9.379515086694065e-18,3.96167078964789e-19
16,0.6,0.5,1.3,7.487727306229871e-06,6.53739492044834e-06
16,0.6,0.5,1.5,1.0686708281458634e-06,9.770414655742133e-07
16,0.6,0.5,2.0,1.0655536793281481e-08,9.805694509556332e-09
16,0.6,0.5,3.0,2.727403517694168e-12,2.459189913878227e-12
16,0.6,0.5,6.0,6.503977925156773e-18,-6.321904824995896e-19
16,0.6,1.0,1.3,3.8373078708262145e-09,3.0892264075388126e-09
16,0.6,1.0,1.5,7.663098543563813e-10,6.597552685795536e-10
16,0.6,1.0,2.0,1.7588730649092867e-11,1.542404772717674e-11
16,0.6,1.0,3.0,1.9622844103729723e-14,1.6898289480387584e-14
16,0.6,1.0,6.0,-5.799621204910782e-19,-3.108985984025921e-18
16,1.0,0.0,1.3,0.006669554875602731,0.0030096542670655117
16,1.0,0.0,1.5,0.0016952902637249404,0.0014324250224242688
16,1.0,0.0,2.0,6.69744795306182e-05,6.035673821169267e-05
16,1.0,0.0,3.0,1.5023184325338594e-07,1.376287170044617e-07
16,1.0,0.0,6.0,2.6278365385068962e-14,2.252386770036537e-14
16,1.0,0.5,1.3,0.0017236521917615565,0.0013273555140113841
16,1.0,0.5,1.5,0.0004563064129691101,0.0003934640947729348
16,1.0,0.5,2.0,1.9615480235080815e-05,1.7850096227402366e-05
16,1.0,0.5,3.0,5.104568554404783e-08,4.6700857451411896e-08
16,1.0,0.5,6.0,1.3584395378930057e-14,1.1530253764796316e-14
16,1.0,1.0,1.3,4.466903527623514e-05,3.459971633635502e-05
16,1.0,1.0,1.5,1.2818363839008985e-05,1.111781405923266e-05
16,1.0,1.0,2.0,6.747451333046758e-07,6.134337702278996e-07
16,1.0,1.0,3.0,2.6688050459313547e-09,2.4025410004680037e-09
16,1.0,1.0,6.0,2.2341283593274793e-15,1.8362850243927343e-15
