R_over_d,component,geometry,common,differential
0.9428571428571428,x,h2,0.026780597816970366,0.027026267252090227
1.0,normal,open,0.07676540471888925,0.04260080261744841
1.0,normal,h2,0.098493022865467,0.04499141328191378
1.0,x,open,0.029841551838438524,0.02984155182973031
1.0,x,h2,0.025259794458141624,0.028547070610918976
1.0571428571428572,normal,open,0.07432033185833654,0.04504587547800112
1.0571428571428572,normal,h2,0.0958089727404476,0.0476754634069332
1.0571428571428572,x,open,0.028360602702214976,0.031322500965953855
1.0571428571428572,x,h2,0.023900905491614596,0.029905959577446004
1.1142857142857143,normal,open,0.07206493356361968,0.04730127377271799
1.1142857142857143,normal,h2,0.0933096152121245,0.05017482093525629
1.1142857142857143,x,open,0.027042222721405253,0.03264088094676358
1.1142857142857143,x,h2,0.02270555221739022,0.031101312851670376
1.1714285714285715,normal,open,0.07000175974982475,0.04936444758651291
1.1714285714285715,normal,h2,0.09099846951243167,0.05248596663494912
1.1714285714285715,x,open,0.025885018587007674,0.03379808508116116
1.1714285714285715,x,h2,0.021671700696820506,0.032135164372240094
1.2285714285714284,normal,open,0.06812945200882183,0.051236755327515836
1.2285714285714284,normal,h2,0.08887511997894089,0.0546093161684399
1.2285714285714284,x,open,0.0248845602004103,0.03479854346775853
1.2285714285714284,x,h2,0.020794307686098055,0.03301255738296254
1.2857142857142856,normal,open,0.06644344554759266,0.052922761788745006
1.2857142857142856,normal,h2,0.08693591223280354,0.056548523914577244
1.2857142857142856,x,open,0.024034009828696305,0.035649093839472526
1.2857142857142856,x,h2,0.02006595393427103,0.03374091113478957
1.3428571428571427,normal,open,0.06493664165420454,0.05442956568213312
1.3428571428571427,normal,h2,0.08517462060054205,0.058309815546838735
1.3428571428571427,x,open,0.02332471430967686,0.03635838935849197
1.3428571428571427,x,h2,0.01947743990028283,0.034329425168777766
1.4,normal,open,0.06360002938004584,0.05576617795629182
1.4,normal,h2,0.08358306548396709,0.0599013706634137
1.4,x,open,0.0227467430176046,0.036936360650564236
1.4,x,h2,0.019018326593076243,0.03478853847598436
1.457142857142857,normal,open,0.062423242648735146,0.056942964687602515
1.457142857142857,normal,h2,0.08215166689062273,0.06133276925675807
1.457142857142857,x,open,0.02228936110178025,0.037393742566388576
1.457142857142857,x,h2,0.018677411052003903,0.035129454017056694
1.5142857142857142,normal,open,0.06139504541797583,0.05797116191836183
1.5142857142857142,normal,h2,0.08086992674055288,0.06261450940682792
1.5142857142857142,x,open,0.021941433213819906,0.037741670454348925
1.5142857142857142,x,h2,0.018443131699121255,0.035363733369939344
1.5714285714285714,normal,open,0.06050374269525653,0.058862464641081136
1.5714285714285714,normal,h2,0.0797268377287252,0.0637575984186556
1.5714285714285714,x,open,0.021691757449015612,0.03799134621915322
1.5714285714285714,x,h2,0.018303903314062227,0.03550296175499837
1.6285714285714286,normal,open,0.05973751914392382,0.05962868819241384
1.6285714285714286,normal,h2,0.07871122044850057,0.06477321569888023
1.6285714285714286,x,open,0.021529332570327304,0.03815377109784153
1.6285714285714286,x,h2,0.018248384733339642,0.035558480335720954
1.6857142857142857,normal,open,0.059084709808972936,0.060281497527364725
1.6857142857142857,normal,h2,0.0778119932663593,0.06567244288102149
1.6857142857142857,x,open,0.02144356386959309,0.03823953979857574
1.6857142857142857,x,h2,0.018265684668525253,0.03554118040053535
1.7428571428571427,normal,open,0.05853400929374669,0.060832198042590976
1.7428571428571427,normal,h2,0.07701838123354013,0.06646605491384067
1.7428571428571427,x,open,0.02142441440544172,0.03825868926272711
1.7428571428571427,x,h2,0.018345512427751478,0.03546135264130912
1.7999999999999998,normal,open,0.058074626706350635,0.06129158062998702
1.7999999999999998,normal,h2,0.07632007130303163,0.06716436484434916
1.7999999999999998,x,open,0.021462509015230568,0.03822059465293826
1.7999999999999998,x,h2,0.018478280986471116,0.03532858408258948
1.857142857142857,normal,open,0.057696394047100315,0.06166981328923735
1.857142857142857,normal,h2,0.07570732146952733,0.06777711467785345
1.857142857142857,x,open,0.021549198601109015,0.03813390506705982
1.857142857142857,x,h2,0.018655169958484485,0.03515169511057611
1.9142857142857141,normal,open,0.05738983559222106,0.0619763717441166
1.9142857142857141,normal,h2,0.07517103133192166,0.06831340481545914
1.9142857142857141,x,open,0.02167659189481423,0.0380065117733546
1.9142857142857141,x,h2,0.018868155723789838,0.03493870934527076
1.9714285714285713,normal,open,0.057146205389574385,0.062220001946763276
1.9714285714285713,normal,h2,0.0747027811378085,0.0687816550095723
1.9714285714285713,x,open,0.021837561346444136,0.0378455423217247
1.9714285714285713,x,h2,0.019110015410359123,0.03469684965870148
2.0285714285714285,normal,open,0.056957499339589615,0.062408707996748046
2.0285714285714285,normal,h2,0.0742948457273123,0.06918959042006849
2.0285714285714285,x,open,0.022025729068504724,0.03765737459966411
2.0285714285714285,x,h2,0.0193743107119092,0.034432554357151396
2.085714285714286,normal,open,0.05681644758363878,0.06254975975269889
2.085714285714286,normal,h2,0.07394018904407759,0.0695442471033032
2.085714285714286,x,open,0.022235437982514483,0.037447665685654344
2.085714285714286,x,h2,0.019655356737794047,0.03415150833126655
2.142857142857143,normal,open,0.05671649213403692,0.06264971520230074
2.142857142857143,normal,h2,0.07363244409544566,0.06985199205193512
2.142857142857143,x,open,0.022461712523387047,0.03722139114478178
2.142857142857143,x,h2,0.019948180296456463,0.03385868477260413
2.2,normal,open,0.05665175390539338,0.06271445343094428
2.2,normal,h2,0.07336588247231028,0.07011855367507051
2.2,x,open,0.022700212499482713,0.03698289116868612
2.2,x,h2,0.02024847125337293,0.03355839381568767
2.257142857142857,normal,open,0.05661699257991569,0.06274921475642198
2.257142857142857,normal,h2,0.07313537681545333,0.07034905933192746
2.257142857142857,x,open,0.022947183010753158,0.03673592065741567
2.257142857142857,x,h2,0.02055252990537692,0.03325433516368368
2.3142857142857145,normal,open,0.05660756207978391,0.06275864525655375
2.3142857142857145,normal,h2,0.07293635895947945,0.07054807718790135
2.3142857142857145,x,open,0.023199402708785566,0.03648370095938327
2.3142857142857145,x,h2,0.020857212690769796,0.032949652378290804
2.3714285714285714,normal,open,0.05661936383800759,0.06274684349833007
2.3714285714285714,normal,h2,0.0727647759078059,0.07071966023957488
2.3714285714285714,x,open,0.023454132146763635,0.036228971521405195
2.3714285714285714,x,h2,0.02115987801482424,0.03264698705423636
2.428571428571429,normal,open,0.05664879955803814,0.06271740777829952
2.428571428571429,normal,h2,0.07261704529518928,0.07086739085219151
